ds,y
2008-04-11,1357.98
2008-04-10,1367.24
2008-04-09,1368.39
2008-04-08,1370.16
2008-04-07,1386.74
2008-04-04,1380.91
2008-04-03,1375.66
2008-04-02,1377.95
2008-04-01,1370.18
2008-03-31,1328.52
2008-03-28,1334.87
2008-03-27,1345.62
2008-03-26,1352.45
2008-03-25,1357.47
2008-03-24,1359.68
2008-03-20,1330.67
2008-03-19,1341.51
2008-03-18,1330.74
2008-03-17,1287.5
2008-03-14,1321.47
2008-03-13,1321.68
2008-03-12,1333.26
2008-03-11,1320.65
2008-03-10,1295.01
2008-03-07,1313.24
2008-03-06,1332.2
2008-03-05,1344.19
2008-03-04,1331.03
2008-03-03,1335.13
2008-02-29,1364.07
2008-02-28,1378.16
2008-02-27,1388.34
2008-02-26,1387.34
2008-02-25,1374.36
2008-02-22,1354.3
2008-02-21,1367.94
2008-02-20,1363.71
2008-02-19,1367.28
2008-02-15,1350
2008-02-14,1368.16
2008-02-13,1369.23
2008-02-12,1362.1
2008-02-11,1341.4
2008-02-08,1341.22
2008-02-07,1347.16
2008-02-06,1351.96
2008-02-05,1380.28
2008-02-04,1395.38
2008-02-01,1396.02
2008-01-31,1385.62
2008-01-30,1385.86
2008-01-29,1364.93
2008-01-28,1353.97
2008-01-25,1368.56
2008-01-24,1355.15
2008-01-23,1339.09
2008-01-22,1322.09
2008-01-18,1350.28
2008-01-17,1377.72
2008-01-16,1391.99
2008-01-15,1411.88
2008-01-14,1417.89
2008-01-11,1419.91
2008-01-10,1429.09
2008-01-09,1409.19
2008-01-08,1430.28
2008-01-07,1423.87
2008-01-04,1444.01
2008-01-03,1456.8
2008-01-02,1471.77
2007-12-31,1475.83
2007-12-28,1488.01
2007-12-27,1495.05
2007-12-26,1498.85
2007-12-24,1497.63
2007-12-21,1485.4
2007-12-20,1461.53
2007-12-19,1464.42
2007-12-18,1460.16
2007-12-17,1465.05
2007-12-14,1486.67
2007-12-13,1489.4
2007-12-12,1511.96
2007-12-11,1523.57
2007-12-10,1518.27
2007-12-07,1510.63
2007-12-06,1508.02
2007-12-05,1486.09
2007-12-04,1471.34
2007-12-03,1481.16
2007-11-30,1488.94
2007-11-29,1473.81
2007-11-28,1471.62
2007-11-27,1429.49
2007-11-26,1446.09
2007-11-23,1440.86
2007-11-21,1436.4
2007-11-20,1452.64
2007-11-19,1456.7
2007-11-16,1462.18
2007-11-15,1472.67
2007-11-14,1492.14
2007-11-13,1481.37
2007-11-12,1464.94
2007-11-09,1474.09
2007-11-08,1482.5
2007-11-07,1515.46
2007-11-06,1520.77
2007-11-05,1510.84
2007-11-02,1513.15
2007-11-01,1545.79
2007-10-31,1552.76
2007-10-30,1539.42
2007-10-29,1544.67
2007-10-26,1535.53
2007-10-25,1523.24
2007-10-24,1517.23
2007-10-23,1520.01
2007-10-22,1508.06
2007-10-19,1540
2007-10-18,1542.79
2007-10-17,1550.66
2007-10-16,1547.81
2007-10-15,1564.74
2007-10-12,1563.03
2007-10-11,1576.09
2007-10-10,1565.42
2007-10-09,1565.26
2007-10-08,1556.51
2007-10-05,1561.91
2007-10-04,1544.02
2007-10-03,1545.84
2007-10-02,1548.01
2007-10-01,1549.02
2007-09-28,1533.7
2007-09-27,1532.46
2007-09-26,1529.39
2007-09-25,1518.27
2007-09-24,1530.18
2007-09-21,1530.89
2007-09-20,1529.14
2007-09-19,1538.74
2007-09-18,1519.89
2007-09-17,1484.24
2007-09-14,1485.99
2007-09-13,1489.58
2007-09-12,1479.5
2007-09-11,1472.48
2007-09-10,1462.25
2007-09-07,1478.55
2007-09-06,1481.49
2007-09-05,1488.76
2007-09-04,1496.4
2007-08-31,1481.47
2007-08-30,1468.43
2007-08-29,1463.76
2007-08-28,1466.72
2007-08-27,1479.36
2007-08-24,1479.4
2007-08-23,1472.06
2007-08-22,1464.86
2007-08-21,1455.32
2007-08-20,1451.75
2007-08-17,1450.33
2007-08-16,1415.97
2007-08-15,1440.78
2007-08-14,1456.74
2007-08-13,1466.29
2007-08-10,1462.02
2007-08-09,1497.21
2007-08-08,1503.89
2007-08-07,1488.3
2007-08-06,1467.67
2007-08-03,1473.23
2007-08-02,1476.43
2007-08-01,1468.38
2007-07-31,1488.3
2007-07-30,1477.88
2007-07-27,1488.53
2007-07-26,1518.09
2007-07-25,1524.31
2007-07-24,1541.57
2007-07-23,1547.23
2007-07-20,1553.19
2007-07-19,1555.2
2007-07-18,1549.2
2007-07-17,1555.32
2007-07-16,1555.9
2007-07-13,1555.1
2007-07-12,1547.92
2007-07-11,1519.34
2007-07-10,1531.85
2007-07-09,1534.26
2007-07-06,1532.4
2007-07-05,1526.57
2007-07-03,1526.01
2007-07-02,1519.45
2007-06-29,1517.53
2007-06-28,1514.84
2007-06-27,1506.8
2007-06-26,1506.12
2007-06-25,1514.29
2007-06-22,1522.19
2007-06-21,1522.9
2007-06-20,1537.32
2007-06-19,1535.85
2007-06-18,1535.44
2007-06-15,1538.71
2007-06-14,1526.45
2007-06-13,1515.7
2007-06-12,1511.33
2007-06-11,1515.53
2007-06-08,1507.76
2007-06-07,1517.36
2007-06-06,1530.57
2007-06-05,1539.12
2007-06-04,1540.53
2007-06-01,1540.56
2007-05-31,1535.56
2007-05-30,1530.23
2007-05-29,1521.8
2007-05-25,1517.41
2007-05-24,1529.31
2007-05-23,1532.43
2007-05-22,1529.24
2007-05-21,1529.87
2007-05-18,1522.75
2007-05-17,1517.14
2007-05-16,1514.15
2007-05-15,1514.83
2007-05-14,1510.9
2007-05-11,1506.24
2007-05-10,1512.33
2007-05-09,1513.8
2007-05-08,1509.36
2007-05-07,1511
2007-05-04,1510.34
2007-05-03,1503.34
2007-05-02,1499.1
2007-05-01,1487.27
2007-04-30,1497.16
2007-04-27,1497.32
2007-04-26,1498.02
2007-04-25,1496.59
2007-04-24,1483.82
2007-04-23,1487.32
2007-04-20,1484.74
2007-04-19,1474.23
2007-04-18,1476.57
2007-04-17,1474.35
2007-04-16,1468.62
2007-04-13,1453.11
2007-04-12,1448.02
2007-04-11,1448.39
2007-04-10,1448.73
2007-04-09,1448.1
2007-04-05,1444.88
2007-04-04,1440.16
2007-04-03,1440.57
2007-04-02,1425.49
2007-03-30,1429.22
2007-03-29,1426.24
2007-03-28,1428.35
2007-03-27,1437.49
2007-03-26,1437.65
2007-03-23,1438.89
2007-03-22,1437.66
2007-03-21,1437.77
2007-03-20,1411.53
2007-03-19,1403.2
2007-03-16,1397.51
2007-03-15,1395.73
2007-03-14,1388.09
2007-03-13,1406.23
2007-03-12,1409.34
2007-03-09,1410.15
2007-03-08,1407.93
2007-03-07,1401.16
2007-03-06,1397.9
2007-03-05,1391.86
2007-03-02,1403.4
2007-03-01,1409.46
2007-02-28,1415.89
2007-02-27,1449.25
2007-02-26,1456.95
2007-02-23,1456.22
2007-02-22,1461.57
2007-02-21,1459.6
2007-02-20,1460.53
2007-02-16,1456.77
2007-02-15,1457.97
2007-02-14,1457.65
2007-02-13,1444.41
2007-02-12,1439.11
2007-02-09,1452.45
2007-02-08,1450.45
2007-02-07,1452.99
2007-02-06,1450.19
2007-02-05,1449.38
2007-02-02,1449.33
2007-02-01,1446.64
2007-01-31,1441.61
2007-01-30,1428.82
2007-01-29,1426.94
2007-01-26,1427.27
2007-01-25,1440.69
2007-01-24,1440.14
2007-01-23,1431.33
2007-01-22,1431.39
2007-01-19,1431.57
2007-01-18,1432.96
2007-01-17,1435.27
2007-01-16,1433.93
2007-01-12,1431.23
2007-01-11,1427.12
2007-01-10,1415.99
2007-01-09,1415.61
2007-01-08,1414.98
2007-01-05,1418.34
2007-01-04,1421.84
2007-01-03,1429.42
2006-12-29,1427
2006-12-28,1427.26
2006-12-27,1427.72
2006-12-26,1417.91
2006-12-22,1418.82
2006-12-21,1426.4
2006-12-20,1429.05
2006-12-19,1428.3
2006-12-18,1431.81
2006-12-15,1431.63
2006-12-14,1427.23
2006-12-13,1416.64
2006-12-12,1413.78
2006-12-11,1415.6
2006-12-08,1414.09
2006-12-07,1418.27
2006-12-06,1415.93
2006-12-05,1415.27
2006-12-04,1411.23
2006-12-01,1402.46
2006-11-30,1406.3
2006-11-29,1401.14
2006-11-28,1387.91
2006-11-27,1400.95
2006-11-24,1405.94
2006-11-22,1407.89
2006-11-21,1403.49
2006-11-20,1404.37
2006-11-17,1401.21
2006-11-16,1403.76
2006-11-15,1401.35
2006-11-14,1394.49
2006-11-13,1387.61
2006-11-10,1381.04
2006-11-09,1388.92
2006-11-08,1388.61
2006-11-07,1388.19
2006-11-06,1381.4
2006-11-03,1371.68
2006-11-02,1368.39
2006-11-01,1381.95
2006-10-31,1381.21
2006-10-30,1381.22
2006-10-27,1388.89
2006-10-26,1389.45
2006-10-25,1383.61
2006-10-24,1377.78
2006-10-23,1377.4
2006-10-20,1368.66
2006-10-19,1368.09
2006-10-18,1372.87
2006-10-17,1369.05
2006-10-16,1370.2
2006-10-13,1366.63
2006-10-12,1363.76
2006-10-11,1353.97
2006-10-10,1354.23
2006-10-09,1352.69
2006-10-06,1353.22
2006-10-05,1353.79
2006-10-04,1350.2
2006-10-03,1338.31
2006-10-02,1338.54
2006-09-29,1339.88
2006-09-28,1340.28
2006-09-27,1340.08
2006-09-26,1336.6
2006-09-25,1329.35
2006-09-22,1318.03
2006-09-21,1328.19
2006-09-20,1328.53
2006-09-19,1322.04
2006-09-18,1324.87
2006-09-15,1324.65
2006-09-14,1318
2006-09-13,1319.92
